date,SOX,TWII,DXY,USDTWD,US10Y,VIX,NASDAQ,ETF0050,foreign_net_bil,invest_net_bil,dealer_net_bil,margin_balance,short_balance,TXF_net,MXF_net,top5_net,top10_net,opt_call_net,opt_put_net,opt_net
2024-01-01,,,,30.682100296020508,,,,,,,,,,,,,,,,
2024-01-02,4023.0400390625,17853.759765625,102.19999694824219,30.66860008239746,3.946000099182129,13.199999809265137,14765.9404296875,31.668649673461914,,,,7999081.0,359738.0,-717.0,-6798.0,999998.0,351.0,-153078.0,-154406.0,1328.0
2024-01-03,3941.2099609375,17559.310546875,102.45999908447266,30.878999710083008,3.9070000648498535,14.039999961853027,14592.2099609375,31.116973876953125,,,,8012556.0,369678.0,-5331.0,-14585.0,999998.0,341.0,-282005.0,-279293.0,-2712.0
2024-01-04,3908.85009765625,17549.650390625,102.41999816894531,31.041900634765625,3.990999937057495,14.130000114440918,14510.2998046875,31.105234146118164,,,,8026373.0,371823.0,3563.0,9336.0,999998.0,358.0,-159073.0,-151363.0,-7710.0
2024-01-05,3933.489990234375,17519.140625,102.41000366210938,31.054000854492188,4.041999816894531,13.350000381469727,14524.0703125,31.023067474365234,,,,8029646.0,358368.0,786.0,-1605.0,999998.0,381.0,-158887.0,-161294.0,2407.0
2024-01-08,4062.47998046875,17572.66015625,102.20999908447266,30.95199966430664,4.001999855041504,13.079999923706055,14843.76953125,31.163923263549805,,,,8024546.0,343455.0,891.0,2075.0,999998.0,425.0,-194714.0,-205505.0,10791.0
2024-01-09,4064.64990234375,17535.490234375,102.56999969482422,30.72100067138672,4.019000053405762,12.760000228881836,14857.7099609375,31.222614288330078,,,,8039255.0,336246.0,-5469.0,-4321.0,999998.0,369.0,-257420.0,-251597.0,-5823.0
2024-01-10,4048.840087890625,17465.630859375,102.36000061035156,31.061100006103516,4.03000020980835,12.6899995803833,14969.650390625,31.05828285217285,,,,8008256.0,318177.0,-295.0,-1401.0,999998.0,250.0,-294810.0,-288754.0,-6056.0
2024-01-11,4067.89990234375,17545.3203125,102.29000091552734,31.117799758911133,3.9769999980926514,12.4399995803833,14970.1904296875,31.187402725219727,,,,7981559.0,295498.0,-754.0,5735.0,999998.0,311.0,-199745.0,-168475.0,-31270.0
2024-01-12,4052.429931640625,17512.830078125,102.4000015258789,30.893999099731445,3.950000047683716,12.699999809265137,14972.759765625,31.140445709228516,,,,7993700.0,289731.0,-1096.0,-3302.0,999998.0,298.0,-316261.0,-266309.0,-49952.0
2024-01-15,,17546.8203125,,31.075599670410156,,,,31.140445709228516,,,,7972549.0,288750.0,4636.0,5194.0,999998.0,262.0,-228626.0,-235366.0,6740.0
2024-01-16,4105.93994140625,17346.869140625,103.36000061035156,31.19499969482422,4.065999984741211,13.84000015258789,14944.349609375,30.905691146850586,,,,7996869.0,295543.0,4505.0,-2169.0,999998.0,281.0,-287405.0,-278668.0,-8737.0
2024-01-17,4069.949951171875,17161.7890625,103.44999694824219,31.45800018310547,4.105999946594238,14.789999961853027,14855.6201171875,30.617412567138672,,,,8022822.0,293725.0,-2910.0,-12079.0,999998.0,387.0,-425502.0,-417563.0,-7939.0
2024-01-18,4206.52001953125,17227.7890625,103.54000091552734,31.542499542236328,4.144000053405762,14.130000114440918,15055.650390625,30.821611404418945,,,,8011254.0,279611.0,874.0,6664.0,999998.0,445.0,-189421.0,-185214.0,-4207.0
2024-01-19,4375.64990234375,17681.51953125,103.29000091552734,31.58060073852539,4.145999908447266,13.300000190734863,15310.9697265625,31.92667007446289,,,,7983162.0,285537.0,8759.0,24096.0,999998.0,449.0,-262364.0,-233141.0,-29223.0
2024-01-22,4386.60009765625,17815.099609375,103.33000183105469,31.383800506591797,4.093999862670898,13.1899995803833,15360.2900390625,32.142879486083984,,,,7999540.0,287310.0,-4241.0,-6907.0,999998.0,453.0,-190440.0,-175551.0,-14889.0
2024-01-23,4415.259765625,17874.58984375,103.62000274658203,31.368000030517578,4.142000198364258,12.550000190734863,15425.9404296875,32.20294189453125,,,,8011377.0,287587.0,5407.0,6463.0,999998.0,476.0,-119948.0,-120198.0,250.0
2024-01-24,4483.330078125,17875.830078125,103.23999786376953,31.395000457763672,4.177999973297119,13.140000343322754,15481.919921875,32.190921783447266,,,,8001915.0,290372.0,964.0,895.0,999998.0,524.0,-130367.0,-113275.0,-17092.0
2024-01-25,4472.259765625,18002.619140625,103.56999969482422,31.29199981689453,4.131999969482422,13.449999809265137,15510.5,32.58730697631836,,,,8037457.0,294804.0,3871.0,237.0,999998.0,457.0,-156401.0,-165565.0,9164.0
2024-01-26,4342.10009765625,17995.029296875,103.47000122070312,31.315000534057617,4.159999847412109,13.260000228881836,15455.3603515625,32.58730697631836,,,,8014781.0,299028.0,1030.0,611.0,999998.0,466.0,-151799.0,-152792.0,993.0
2024-01-29,4388.27001953125,18119.630859375,103.61000061035156,31.273099899291992,4.091000080108643,13.600000381469727,15628.0400390625,32.79150390625,,,,8005995.0,296141.0,-1056.0,4599.0,999998.0,496.0,-140181.0,-140794.0,613.0
